fips,cases,deaths
19183,141,7
19187,5,0
19189,2,0
19191,24,0
11001,4323,224
19193,742,1
19195,1,0
19197,4,0
44001,145,0
44003,622,4
44005,149,0
44007,6290,132
44009,330,11
36001,1165,53
36003,35,1
36007,284,15
36009,47,1
36011,48,1
36013,33,1
36015,122,3
36017,98,0
36019,59,4
36021,170,16
36023,28,0
36025,61,1
36027,2954,70
36029,3319,227
36031,34,0
36033,15,0
36035,71,1
36037,153,2
36039,131,0
36041,3,0
36043,58,3
36045,61,0
36049,9,0
36051,69,2
36053,131,3
36055,1441,93
36057,53,1
36059,35854,2111
36063,420,13
36065,439,14
36067,832,35
36069,90,4
36071,8665,237
36073,89,5
36075,63,2
36077,67,5
36079,970,45
36083,287,20
36087,11708,370
36089,173,2
36091,354,3
36093,501,25
36095,42,0
36097,7,0
36099,39,1
36101,216,11
36103,33664,1228
36105,838,12
36107,88,6
36109,128,2
36111,1279,7
36113,176,9
36115,148,1
36117,71,0
36119,28969,1144
36121,65,3
36123,18,1
28001,133,8
28003,10,1
28005,29,1
28007,99,0
28009,11,0
28011,102,7
28013,51,3
28015,38,1
28017,68,7
28019,13,1
28021,22,0
28023,54,3
28025,40,2
28027,61,3
28029,96,1
28031,62,0
28033,282,4
28035,207,12
28037,17,1
28039,13,1
28041,5,1
28043,28,0
28045,62,5
28047,174,6
28049,470,8
28051,133,5
28053,23,3
28057,57,3
28059,259,6
28061,42,1
28063,23,0
28065,32,1
28067,143,1
28069,57,2
28071,89,3
28073,103,2
28075,349,20
28077,45,0
28079,204,2
28081,72,5
28083,148,17
28085,141,10
28087,54,2
28089,229,8
28091,72,6
28093,43,2
28095,157,14
28097,28,1
28099,187,3
28101,81,0
28103,66,0
28105,51,3
28107,39,2
28109,163,19
28111,27,1
28113,148,7
28115,18,2
28117,32,1
28119,14,0
28121,186,5
28123,316,0
28125,5,0
28127,46,0
28129,74,4
28131,22,0
28133,53,2
28135,11,1
28137,41,0
28139,54,7
28141,8,0
28143,35,1
28145,17,1
28147,31,0
28149,68,2
28151,78,3
28153,23,0
28155,18,1
28157,69,7
28159,43,0
28161,19,0
28163,135,1
20005,9,0
20007,1,0
20009,9,0
20011,6,1
20015,16,0
20017,1,0
20019,4,0
20021,8,0
